region,per capita,formal wage,child mortality,disabled,alco (2018),drug (2018),grp,living area,bad conditions,no funds,illness (2016),anomalies (2016),psychosis (2016),pregnancy (2016),newborn,population,poverty %,children,retired,employable,children %,retired %,regional production,retail,living wage
Томская область,28857.0,48730.0,45.0,59672.0,44.2,7.7,518179.5,16.9,1.9,0.6299999999999999,70726.0,243.0,616.2,0.0,9940,1079271.0,14.4,42.2,3.6,54.2,21.11962611800002,22.5,657705.6298186461,162359,12566.0
Тульская область,29385.0,40889.0,64.0,145762.0,69,9,486544.2,16.6,0.8,0.0,72165.3,109.1,313.7,16.5,10812,1466127.0,10.1,38.8,5.3,56.0,16.695143053773652,29.9,1271668.6764107065,205652,11814.0
Тюменская область без округов,31151.0,51501.0,71.0,93159.0,61.2,13.2,757076.0,18.1,3.3,5.5188,64208.6,40.8,340.5,37.8,18753,1537416.0,13.6,37.9,7.5,54.7,23.869271556950103,21.3,1186776.8978858031,268215,12376.0
Удмуртская Республика,25449.0,36380.0,63.0,103216.0,56.4,7.7,451490.9,14.8,1.9,1.3152,99088.4,191.0,428.4,7.5,14545,1500955.0,11.9,49.9,2.7,47.5,22.681492782928203,24.6,774938.0300675237,160085,10930.0
Ульяновская область,24590.0,32504.0,43.0,110411.0,102.6,19.1,360112.2,17.9,1.0,0.3036,87077.9,253.1,372.1,0.0,10346,1229824.0,15.0,38.4,3.1,58.5,18.468821554954204,28.6,530425.626626249,165299,11088.0
Хабаровский край,41740.0,53113.0,58.0,66616.0,128.5,17.3,658239.5,15.4,1.2,0.532,67303.6,153.4,377.2,0.0,13739,1315643.0,12.0,32.7,6.4,60.9,21.1457819484465,22.3,762882.3857231787,277942,16510.0
Ханты-Мансийский автономный округ - Югра,54443.0,79822.0,75.0,52850.0,33.7,6.2,1994630.3,13.9,2.8,5.8128,90676.1,193.3,405.8,18.2,20605,1674676.0,8.4,55.6,1.6,42.9,25.469523657113374,15.9,4139875.290551725,258117,17140.0
Челябинская область,26628.0,39349.0,133.0,219869.0,69.6,20.6,467537.3,16.0,0.8,0.525,88428.4,397.2,667.3,7.0,33252,3466369.0,12.6,40.6,6.0,53.4,21.562534167597274,25.2,991573.8365996233,173367,12056.0
Чеченская Республика,24596.0,29771.0,181.0,166283.0,4.1,0.6,171029.5,19.2,0.6,0.5539,52150.1,73.6,157.9,0.0,30111,1478726.0,20.4,43.7,6.2,50.1,37.08949460549149,10.3,58824.50190231321,123955,11572.0
Чувашская Республика,21155.0,31844.0,24.0,77194.0,79,1.2,287210.3,14.2,1.2,1.8768000000000002,93394.5,487.8,515.7,3.3,11307,1217818.0,16.8,22.2,4.2,73.6,21.25966277391203,24.9,415546.2305533339,141564,10414.0
Чукотский автономный округ,89541.0,120641.0,8.0,1638.0,208.7,0,2404271.2,14.1,1.9,0.0,128506.5,255.2,957.0,111.5,537,50288.0,8.0,,,,25.099427298759146,14.5,5195717.00604518,217089,24711.0
Ямало-Ненецкий автономный округ,89928.0,111216.0,25.0,13641.0,94.7,18.9,5072483.6,15.5,1.7,5.0091,118256.9,258.9,693.9,11.3,7092,544444.0,4.8,51.0,0.7,48.4,26.411164417277078,11.8,10037067.118307851,263114,17403.0
Ярославская область,29514.0,37820.0,40.0,100466.0,45.3,7.6,495102.2,15.8,0.5,0.0,89949.9,171.6,434.8,624.4,10584,1253389.0,9.9,31.9,2.3,65.8,19.342757914741554,27.9,765187.2599807403,204406,11689.0
